2026-05-23 12:19:55.392 | INFO     | wisp.utils.logging:log_environment:50 - torch 2.12.0 | device=mps
2026-05-23 12:19:55.411 | INFO     | wisp.training.trainer:run_training:53 - dataset: 848 virtual windows across 106 clips
2026-05-23 12:19:56.658 | INFO     | wisp.training.trainer:run_training:94 - denoiser params: 5.38M
2026-05-23 12:22:10.244 | INFO     | wisp.training.trainer:run_training:142 - epoch   31/60 | total=0.0283 | rec=0.0202 | pos=0.0068 | vel=0.0026 | bone=0.0000 | 4.2s
2026-05-23 12:22:14.438 | INFO     | wisp.training.trainer:run_training:142 - epoch   32/60 | total=0.0272 | rec=0.0193 | pos=0.0066 | vel=0.0025 | bone=0.0000 | 4.2s
2026-05-23 12:22:18.636 | INFO     | wisp.training.trainer:run_training:142 - epoch   33/60 | total=0.0281 | rec=0.0199 | pos=0.0069 | vel=0.0026 | bone=0.0000 | 4.2s
2026-05-23 12:22:22.838 | INFO     | wisp.training.trainer:run_training:142 - epoch   34/60 | total=0.0273 | rec=0.0195 | pos=0.0066 | vel=0.0024 | bone=0.0000 | 4.2s
2026-05-23 12:22:27.034 | INFO     | wisp.training.trainer:run_training:142 - epoch   35/60 | total=0.0274 | rec=0.0194 | pos=0.0067 | vel=0.0024 | bone=0.0000 | 4.2s
2026-05-23 12:22:31.231 | INFO     | wisp.training.trainer:run_training:142 - epoch   36/60 | total=0.0276 | rec=0.0197 | pos=0.0067 | vel=0.0023 | bone=0.0000 | 4.2s
2026-05-23 12:22:35.435 | INFO     | wisp.training.trainer:run_training:142 - epoch   37/60 | total=0.0271 | rec=0.0193 | pos=0.0066 | vel=0.0023 | bone=0.0000 | 4.2s
2026-05-23 12:22:39.630 | INFO     | wisp.training.trainer:run_training:142 - epoch   38/60 | total=0.0264 | rec=0.0187 | pos=0.0065 | vel=0.0023 | bone=0.0000 | 4.2s
2026-05-23 12:22:43.833 | INFO     | wisp.training.trainer:run_training:142 - epoch   39/60 | total=0.0258 | rec=0.0184 | pos=0.0063 | vel=0.0022 | bone=0.0000 | 4.2s
2026-05-23 12:22:48.029 | INFO     | wisp.training.trainer:run_training:142 - epoch   40/60 | total=0.0271 | rec=0.0194 | pos=0.0066 | vel=0.0021 | bone=0.0000 | 4.2s
2026-05-23 12:22:52.224 | INFO     | wisp.training.trainer:run_training:142 - epoch   41/60 | total=0.0269 | rec=0.0191 | pos=0.0067 | vel=0.0022 | bone=0.0000 | 4.2s
2026-05-23 12:22:56.416 | INFO     | wisp.training.trainer:run_training:142 - epoch   42/60 | total=0.0255 | rec=0.0182 | pos=0.0063 | vel=0.0021 | bone=0.0000 | 4.2s
2026-05-23 12:23:00.610 | INFO     | wisp.training.trainer:run_training:142 - epoch   43/60 | total=0.0257 | rec=0.0183 | pos=0.0064 | vel=0.0021 | bone=0.0000 | 4.2s
2026-05-23 12:23:04.817 | INFO     | wisp.training.trainer:run_training:142 - epoch   44/60 | total=0.0254 | rec=0.0181 | pos=0.0063 | vel=0.0020 | bone=0.0000 | 4.2s
2026-05-23 12:23:09.014 | INFO     | wisp.training.trainer:run_training:142 - epoch   45/60 | total=0.0260 | rec=0.0187 | pos=0.0063 | vel=0.0021 | bone=0.0000 | 4.2s
2026-05-23 12:23:13.211 | INFO     | wisp.training.trainer:run_training:142 - epoch   46/60 | total=0.0251 | rec=0.0180 | pos=0.0061 | vel=0.0019 | bone=0.0000 | 4.2s
2026-05-23 12:23:17.405 | INFO     | wisp.training.trainer:run_training:142 - epoch   47/60 | total=0.0250 | rec=0.0180 | pos=0.0061 | vel=0.0019 | bone=0.0000 | 4.2s
2026-05-23 12:23:21.603 | INFO     | wisp.training.trainer:run_training:142 - epoch   48/60 | total=0.0246 | rec=0.0177 | pos=0.0060 | vel=0.0018 | bone=0.0000 | 4.2s
2026-05-23 12:23:25.803 | INFO     | wisp.training.trainer:run_training:142 - epoch   49/60 | total=0.0255 | rec=0.0184 | pos=0.0063 | vel=0.0018 | bone=0.0000 | 4.2s
2026-05-23 12:23:30.003 | INFO     | wisp.training.trainer:run_training:142 - epoch   50/60 | total=0.0247 | rec=0.0177 | pos=0.0061 | vel=0.0019 | bone=0.0000 | 4.2s
2026-05-23 12:23:30.185 | INFO     | wisp.training.trainer:run_training:162 - checkpoint saved (epoch 50)
2026-05-23 12:23:34.388 | INFO     | wisp.training.trainer:run_training:142 - epoch   51/60 | total=0.0245 | rec=0.0176 | pos=0.0060 | vel=0.0018 | bone=0.0000 | 4.2s
2026-05-23 12:23:38.588 | INFO     | wisp.training.trainer:run_training:142 - epoch   52/60 | total=0.0246 | rec=0.0178 | pos=0.0060 | vel=0.0017 | bone=0.0000 | 4.2s
2026-05-23 12:23:42.800 | INFO     | wisp.training.trainer:run_training:142 - epoch   53/60 | total=0.0245 | rec=0.0177 | pos=0.0060 | vel=0.0018 | bone=0.0000 | 4.2s
2026-05-23 12:23:47.002 | INFO     | wisp.training.trainer:run_training:142 - epoch   54/60 | total=0.0241 | rec=0.0173 | pos=0.0059 | vel=0.0017 | bone=0.0000 | 4.2s
2026-05-23 12:23:51.201 | INFO     | wisp.training.trainer:run_training:142 - epoch   55/60 | total=0.0236 | rec=0.0171 | pos=0.0057 | vel=0.0016 | bone=0.0000 | 4.2s
2026-05-23 12:23:55.401 | INFO     | wisp.training.trainer:run_training:142 - epoch   56/60 | total=0.0239 | rec=0.0173 | pos=0.0058 | vel=0.0016 | bone=0.0000 | 4.2s
2026-05-23 12:23:59.597 | INFO     | wisp.training.trainer:run_training:142 - epoch   57/60 | total=0.0235 | rec=0.0170 | pos=0.0058 | vel=0.0016 | bone=0.0000 | 4.2s
2026-05-23 12:24:03.798 | INFO     | wisp.training.trainer:run_training:142 - epoch   58/60 | total=0.0235 | rec=0.0169 | pos=0.0058 | vel=0.0016 | bone=0.0000 | 4.2s
2026-05-23 12:24:08.012 | INFO     | wisp.training.trainer:run_training:142 - epoch   59/60 | total=0.0232 | rec=0.0168 | pos=0.0056 | vel=0.0016 | bone=0.0000 | 4.2s
2026-05-23 12:24:12.225 | INFO     | wisp.training.trainer:run_training:142 - epoch   60/60 | total=0.0231 | rec=0.0167 | pos=0.0057 | vel=0.0016 | bone=0.0000 | 4.2s
2026-05-23 12:24:12.400 | INFO     | wisp.training.trainer:run_training:162 - checkpoint saved (epoch 60)
2026-05-23 12:51:31.050 | INFO     | wisp.utils.logging:log_environment:50 - torch 2.12.0 | device=mps
2026-05-23 12:51:31.082 | INFO     | wisp.training.trainer:run_training:53 - dataset: 848 virtual windows across 106 clips
2026-05-23 12:51:32.497 | INFO     | wisp.training.trainer:run_training:94 - denoiser params: 5.38M
2026-05-23 12:51:36.958 | INFO     | wisp.training.trainer:run_training:142 - epoch    1/300 | total=0.2946 | rec=0.1921 | pos=0.0828 | vel=0.0394 | bone=0.0000 | 4.5s
2026-05-23 12:51:41.280 | INFO     | wisp.training.trainer:run_training:142 - epoch    2/300 | total=0.0696 | rec=0.0432 | pos=0.0196 | vel=0.0136 | bone=0.0000 | 4.3s
2026-05-23 12:51:45.597 | INFO     | wisp.training.trainer:run_training:142 - epoch    3/300 | total=0.0612 | rec=0.0387 | pos=0.0172 | vel=0.0105 | bone=0.0000 | 4.3s
2026-05-23 12:51:49.928 | INFO     | wisp.training.trainer:run_training:142 - epoch    4/300 | total=0.0585 | rec=0.0373 | pos=0.0166 | vel=0.0093 | bone=0.0000 | 4.3s
2026-05-23 12:51:54.251 | INFO     | wisp.training.trainer:run_training:142 - epoch    5/300 | total=0.0560 | rec=0.0359 | pos=0.0159 | vel=0.0084 | bone=0.0000 | 4.3s
2026-05-23 12:51:58.590 | INFO     | wisp.training.trainer:run_training:142 - epoch    6/300 | total=0.0537 | rec=0.0347 | pos=0.0151 | vel=0.0077 | bone=0.0000 | 4.3s
2026-05-23 12:52:02.934 | INFO     | wisp.training.trainer:run_training:142 - epoch    7/300 | total=0.0530 | rec=0.0344 | pos=0.0147 | vel=0.0076 | bone=0.0000 | 4.3s
2026-05-23 12:52:07.265 | INFO     | wisp.training.trainer:run_training:142 - epoch    8/300 | total=0.0496 | rec=0.0328 | pos=0.0131 | vel=0.0075 | bone=0.0000 | 4.3s
2026-05-23 12:52:11.604 | INFO     | wisp.training.trainer:run_training:142 - epoch    9/300 | total=0.0460 | rec=0.0309 | pos=0.0117 | vel=0.0067 | bone=0.0000 | 4.3s
2026-05-23 12:52:15.936 | INFO     | wisp.training.trainer:run_training:142 - epoch   10/300 | total=0.0451 | rec=0.0301 | pos=0.0115 | vel=0.0071 | bone=0.0000 | 4.3s
2026-05-23 12:52:20.265 | INFO     | wisp.training.trainer:run_training:142 - epoch   11/300 | total=0.0411 | rec=0.0280 | pos=0.0100 | vel=0.0062 | bone=0.0000 | 4.3s
2026-05-23 12:52:24.586 | INFO     | wisp.training.trainer:run_training:142 - epoch   12/300 | total=0.0399 | rec=0.0274 | pos=0.0096 | vel=0.0059 | bone=0.0000 | 4.3s
2026-05-23 12:52:28.911 | INFO     | wisp.training.trainer:run_training:142 - epoch   13/300 | total=0.0381 | rec=0.0261 | pos=0.0091 | vel=0.0056 | bone=0.0000 | 4.3s
2026-05-23 12:52:33.243 | INFO     | wisp.training.trainer:run_training:142 - epoch   14/300 | total=0.0367 | rec=0.0253 | pos=0.0089 | vel=0.0052 | bone=0.0000 | 4.3s
2026-05-23 12:52:37.581 | INFO     | wisp.training.trainer:run_training:142 - epoch   15/300 | total=0.0356 | rec=0.0245 | pos=0.0086 | vel=0.0051 | bone=0.0000 | 4.3s
2026-05-23 12:52:41.923 | INFO     | wisp.training.trainer:run_training:142 - epoch   16/300 | total=0.0359 | rec=0.0249 | pos=0.0086 | vel=0.0046 | bone=0.0000 | 4.3s
2026-05-23 12:52:46.245 | INFO     | wisp.training.trainer:run_training:142 - epoch   17/300 | total=0.0340 | rec=0.0239 | pos=0.0080 | vel=0.0043 | bone=0.0000 | 4.3s
2026-05-23 12:52:50.575 | INFO     | wisp.training.trainer:run_training:142 - epoch   18/300 | total=0.0338 | rec=0.0237 | pos=0.0080 | vel=0.0042 | bone=0.0000 | 4.3s
2026-05-23 12:52:54.925 | INFO     | wisp.training.trainer:run_training:142 - epoch   19/300 | total=0.0326 | rec=0.0229 | pos=0.0077 | vel=0.0040 | bone=0.0000 | 4.3s
2026-05-23 12:52:59.274 | INFO     | wisp.training.trainer:run_training:142 - epoch   20/300 | total=0.0321 | rec=0.0225 | pos=0.0076 | vel=0.0038 | bone=0.0000 | 4.3s
2026-05-23 12:53:03.603 | INFO     | wisp.training.trainer:run_training:142 - epoch   21/300 | total=0.0321 | rec=0.0226 | pos=0.0077 | vel=0.0036 | bone=0.0000 | 4.3s
2026-05-23 12:53:07.951 | INFO     | wisp.training.trainer:run_training:142 - epoch   22/300 | total=0.0312 | rec=0.0219 | pos=0.0075 | vel=0.0036 | bone=0.0000 | 4.3s
2026-05-23 12:53:12.292 | INFO     | wisp.training.trainer:run_training:142 - epoch   23/300 | total=0.0310 | rec=0.0217 | pos=0.0075 | vel=0.0035 | bone=0.0000 | 4.3s
2026-05-23 12:53:16.643 | INFO     | wisp.training.trainer:run_training:142 - epoch   24/300 | total=0.0307 | rec=0.0218 | pos=0.0073 | vel=0.0032 | bone=0.0000 | 4.4s
2026-05-23 12:53:20.983 | INFO     | wisp.training.trainer:run_training:142 - epoch   25/300 | total=0.0302 | rec=0.0213 | pos=0.0073 | vel=0.0032 | bone=0.0000 | 4.3s
2026-05-23 12:53:21.173 | INFO     | wisp.training.trainer:run_training:162 - checkpoint saved (epoch 25)
